Recipe_id,Recipe,Ingredients,Link,Cuisine,Easy
18,Curry Noodle Soup,"['broccoli', 'coconut milk', 'agave', 'cilantro', 'oil', 'ginger', 'curry paste', 'rice noodle', 'garlic', 'lime juice', 'tofu', 'broth', 'bell pepper']",https://tasty.co/recipe/curry-noodle-soup,thai,No
19,Chicken Noodle Soup,"['butter', 'celery', 'egg noodle', 'onion', 'garlic', 'carrot', 'leaf']",https://tasty.co/recipe/chicken-noodle-soup,american,Yes
20,Loaded Baked Potato Soup,"['butter', 'heavy cream', 'bacon', 'onion', 'oil', 'flour', 'garlic', 'chive', 'russet potato', 'chicken broth', 'cheese']",https://tasty.co/recipe/loaded-baked-potato-soup,american,Yes
21,Cashew Chicken Stir-Fry,"['cornstarch', 'broccoli', 'chicken breast', 'hoisin', 'vinegar', 'honey', 'ginger', 'cashew', 'rice', 'garlic', 'oil', 'bell pepper']",https://tasty.co/recipe/cashew-chicken-stir-fry,american,Yes
21,Cashew Chicken Stir-Fry,"['cornstarch', 'broccoli', 'chicken breast', 'hoisin', 'vinegar', 'honey', 'ginger', 'cashew', 'rice', 'garlic', 'oil', 'bell pepper']",https://tasty.co/recipe/cashew-chicken-stir-fry,chinese,Yes
24,Meal Prep Pesto Chicken Pasta,"['chicken breast', 'pesto', 'cherry tomato', 'asparagus', 'parsley', 'wheat penne', 'oil']",https://tasty.co/recipe/meal-prep-pesto-chicken-pasta,italian,Yes
24,Meal Prep Pesto Chicken Pasta,"['chicken breast', 'pesto', 'cherry tomato', 'asparagus', 'parsley', 'wheat penne', 'oil']",https://tasty.co/recipe/meal-prep-pesto-chicken-pasta,american,Yes
25,How To Cook A Perfect Risotto,"['butter', 'shallot', 'parsley', 'arborio rice', 'oil', 'shiitake mushroom', 'garlic', 'wine', 'cheese', 'thyme', 'chicken stock stock']",https://tasty.co/recipe/mushroom-risotto,italian,No
26,Sloppy Joe Sliders,"['butter', 'pack dinner roll', 'sesame seed', 'ketchup', 'onion', 'garlic', 'mustard', 'beef', 'worcestershire sauce', 'brown sugar', 'cheese']",https://tasty.co/recipe/sloppy-joe-sliders,american,No
28,Spinach & Mushroom Quesadilla,"['flour tortilla', 'spinach', 'salsa', 'parsley', 'oil', 'garlic', 'mushroom', 'egg', 'cheese']",https://tasty.co/recipe/spinach-mushroom-quesadilla,american,Yes
28,Spinach & Mushroom Quesadilla,"['flour tortilla', 'spinach', 'salsa', 'parsley', 'oil', 'garlic', 'mushroom', 'egg', 'cheese']",https://tasty.co/recipe/spinach-mushroom-quesadilla,latin_american,Yes
30,One-pan Roasted Chicken And Sweet Potatoes,"['bean', 'chicken breast', 'paprika', 'sweet potato', 'oil', 'garlic', 'season', 'thyme', 'rosemary']",https://tasty.co/recipe/one-pan-roasted-chicken-and-sweet-potatoes,american,Yes
31,One-Pan Teriyaki Chicken Meal Prep,"['bean', 'cornstarch', 'chicken breast', 'broccoli', 'honey', 'baby carrot', 'sesame seed', 'onion', 'rice', 'garlic', 'soy sauce', 'bell pepper']",https://tasty.co/recipe/one-pan-teriyaki-chicken-meal-prep,japanese,No
33,Summer Vegetable Minestrone Soup,"['spinach', 'celery', 'potato', 'onion', 'cannellini bean', 'oil', 'garlic', 'carrot', 'stock', 'tomato', 'elbow pasta', 'zucchini']",https://tasty.co/recipe/summer-vegetable-minestrone-soup,american,Yes
33,Summer Vegetable Minestrone Soup,"['spinach', 'celery', 'potato', 'onion', 'cannellini bean', 'oil', 'garlic', 'carrot', 'stock', 'tomato', 'elbow pasta', 'zucchini']",https://tasty.co/recipe/summer-vegetable-minestrone-soup,italian,Yes
34,The Best Layered Lasagna,"['butter', 'wine', 'lasagna noodle', 'pork', 'ricotta', 'parsley', 'mozzarella', 'onion', 'celery stalk', 'oil', 'basil', 'carrot', 'beef', 'tomato', 'egg', 'cheese']",https://tasty.co/recipe/the-best-layered-lasagna,italian,Yes
34,The Best Layered Lasagna,"['butter', 'wine', 'lasagna noodle', 'pork', 'ricotta', 'parsley', 'mozzarella', 'onion', 'celery stalk', 'oil', 'basil', 'carrot', 'beef', 'tomato', 'egg', 'cheese']",https://tasty.co/recipe/the-best-layered-lasagna,american,Yes
35,Meal-Prep Garlic Chicken And Veggie Pasta,"['chicken breast', 'squash', 'oil', 'garlic', 'carrot', 'zucchini', 'kale', 'oregano', 'grain wheat rotini pasta']",https://tasty.co/recipe/meal-prep-garlic-chicken-and-veggie-pasta,italian,No
39,Healthy & Hearty Black Bean Soup,"['bean', 'jalapeno', 'cumin', 'cilantro', 'celery', 'stock', 'onion', 'oil', 'garlic', 'carrot', 'avocado', 'queso fresco', 'bay leaf', 'tortilla chip', 'bell pepper']",https://tasty.co/recipe/healthy-hearty-black-bean-soup,latin_american,Yes
39,Healthy & Hearty Black Bean Soup,"['bean', 'jalapeno', 'cumin', 'cilantro', 'celery', 'stock', 'onion', 'oil', 'garlic', 'carrot', 'avocado', 'queso fresco', 'bay leaf', 'tortilla chip', 'bell pepper']",https://tasty.co/recipe/healthy-hearty-black-bean-soup,american,Yes
39,Healthy & Hearty Black Bean Soup,"['bean', 'jalapeno', 'cumin', 'cilantro', 'celery', 'stock', 'onion', 'oil', 'garlic', 'carrot', 'avocado', 'queso fresco', 'bay leaf', 'tortilla chip', 'bell pepper']",https://tasty.co/recipe/healthy-hearty-black-bean-soup,latin_american,Yes
43,Roasted Shrimp & Veggie Salad,"['cherry tomato', 'honey', 'asparagus', 'shrimp', 'onion', 'oil', 'chili powder', 'lime juice', 'carrot', 'bell pepper', 'oregano']",https://tasty.co/recipe/roasted-shrimp-veggie-salad,american,No
44,Honey-Lime Chicken And Avocado Salad,"['jalapeno', 'lettuce', 'honey', 'cherry tomato', 'onion', 'oil', 'chili powder', 'garlic', 'lime juice', 'avocado', 'chicken thigh']",https://tasty.co/recipe/honey-lime-chicken-and-avocado-salad,american,Yes
45,Creamy Pesto Pasta Bake,"['fusilli pasta', 'pine nut', 'heavy cream', 'cherry tomato', 'mozzarella ball', 'basil', 'oil', 'garlic', 'cheese']",https://tasty.co/recipe/creamy-pesto-pasta-bake,italian,No
46,Hearty Potato Salad,"['fine', 'lemon', 'dill', 'paprika', 'dijon mustard', 'mayonnaise', 'potato', 'onion', 'chive', 'egg']",https://tasty.co/recipe/hearty-potato-salad,american,Yes
47,Chicken Parmesan Sliders,"['butter', 'dinner roll Hawaiian sweet roll', 'parsley', 'basil', 'garlic', 'rotisserie chicken', 'marinara sauce', 'mozzarella', 'cheese']",https://tasty.co/recipe/chicken-parmesan-sliders,american,No
50,Pizza Toastie,"['butter', 'bread', 'marinara sauce', 'pepperoni', 'cheese']",https://tasty.co/recipe/pizza-toastie,british,Yes
51,Sweet And Sour Pork,"['pineapple', 'rice vinegar', 'caster sugar', 'ketchup', 'oil', 'garlic', 'corn flour', 'egg', 'pork bite size', 'bell pepper']",https://tasty.co/recipe/sweet-and-sour-pork,chinese,Yes
52,Mashed Potato Stuffed Meatloaf Cups,"['butter', 'tomato paste', 'milk', 'panko breadcrumb', 'mustard powder', 'ketchup', 'parsley', 'worcestershire sauce', 'paprika', 'beef fat', 'onion', 'brown sugar', 'cheese', 'potato', 'oil', 'garlic', 'egg']",https://tasty.co/recipe/mashed-potato-stuffed-meatloaf-cups,american,Yes
54,Honey Mustard Chicken Salad,"['cherry tomato', 'honey', 'bacon', 'dijon mustard', 'onion', 'oil', 'garlic', 'lettuce', 'chicken thigh']",https://tasty.co/recipe/honey-mustard-chicken-salad,american,Yes
55,Homemade Broccoli Cheese Soup,"['baguette', 'cornstarch', 'broccoli', 'cheddar', 'chicken stock', 'cayenne', 'milk', 'garlic', 'cheese']",https://tasty.co/recipe/homemade-broccoli-cheese-soup,american,Yes
56,French Onion Soup,"['butter', 'cognac', 'sugar', 'sage', 'onion', 'oil', 'flour', 'bread baguette', 'wine', 'beef stock', 'bay leaf', 'cheese']",https://tasty.co/recipe/french-onion-soup,french,No
57,Slow Cooker Balsamic Chicken,"['bean', 'vinegar', 'baby carrot', 'parsley', 'onion', 'oil', 'basil', 'garlic', 'chicken thigh']",https://tasty.co/recipe/slow-cooker-balsamic-chicken,american,Yes
58,One-Pan Southwestern Chicken Quinoa,"['bean', 'jalapeno', 'chicken breast', 'cumin', 'lime', 'cilantro extra', 'quinoa', 'oil', 'chili powder', 'garlic', 'avocado', 'corn', 'tomato', 'broth']",https://tasty.co/recipe/one-pan-southwestern-chicken-quinoa,latin_american,Yes
58,One-Pan Southwestern Chicken Quinoa,"['bean', 'jalapeno', 'chicken breast', 'cumin', 'lime', 'cilantro extra', 'quinoa', 'oil', 'chili powder', 'garlic', 'avocado', 'corn', 'tomato', 'broth']",https://tasty.co/recipe/one-pan-southwestern-chicken-quinoa,american,Yes
59,Vegan Shepherd's Pie,"['tomato paste', 'celery', 'parsley', 'potato', 'onion', 'corn', 'oil', 'flour', 'garlic', 'carrot', 'sage', 'mushroom', 'thyme', 'vegan butter', 'milk nut milk', 'broth']",https://tasty.co/recipe/vegan-shepherds-pie,british,No
59,Vegan Shepherd's Pie,"['tomato paste', 'celery', 'parsley', 'potato', 'onion', 'corn', 'oil', 'flour', 'garlic', 'carrot', 'sage', 'mushroom', 'thyme', 'vegan butter', 'milk nut milk', 'broth']",https://tasty.co/recipe/vegan-shepherds-pie,american,No
60,One-pot Ham & Potato Soup,"['celery', 'heavy cream', 'chicken broth', 'potato', 'onion', 'flour', 'carrot', 'bacon', 'bay leaf', 'thyme']",https://tasty.co/recipe/one-pot-ham-potato-soup,american,No
61,Carne Asada by Gabriel Barajas (aka Mr. TacosWay),"['corn tortilla', 'stewing liquid', 'sirloin', 'tomatilloes liquid', 'cilantro', 'taco', 'onion', 'oil', 'garlic', 'avocado', 'serrano pepper', 'chili', 'cheese']",https://tasty.co/recipe/carne-asada-tacos-way-with-gabriel-barajas-aka-mr-tacosway,latin_american,Yes
62,Weekday Meal-Prep Turkey Taco Bowls,"['bean', 'salsa', 'lime', 'cilantro', 'onion', 'oil', 'taco packet', 'rice', 'corn', 'tomato', 'turkey', 'cheese', 'bell pepper']",https://tasty.co/recipe/weekday-meal-prep-turkey-taco-bowls,american,No
62,Weekday Meal-Prep Turkey Taco Bowls,"['bean', 'salsa', 'lime', 'cilantro', 'onion', 'oil', 'taco packet', 'rice', 'corn', 'tomato', 'turkey', 'cheese', 'bell pepper']",https://tasty.co/recipe/weekday-meal-prep-turkey-taco-bowls,latin_american,No
63,Chicken Caesar Pasta Salad,"['caesar', 'breast chicken', 'oil', 'farfalle pasta pasta', 'grape half', 'lettuce', 'crouton', 'cheese']",https://tasty.co/recipe/chicken-caesar-pasta-salad,american,Yes
64,Steak and Avocado Salad,"['cherry tomato', 'beef sirloin', 'caesar', 'oil', 'avocado', 'heartromaine lettuce', 'egg']",https://tasty.co/recipe/steak-and-avocado-salad,american,Yes
65,Giant BBQ Rib Sandwich (To Feed A Crowd),"['rack baby membrane', 'butter', 'paprika', 'barbecue sauce', 'cumin', 'honey', 'chili', 'sesame seed', 'loaf bread', 'parsley', 'onion', 'brown sugar']",https://tasty.co/recipe/giant-bbq-rib-sandwich-to-feed-a-crowd,american,No
66,Chili Beef Noodles,"['beef', 'noodle', 'spring onion', 'chilli', 'garlic', 'spice', 'chili']",https://tasty.co/recipe/chili-beef-noodles,american,Yes
66,Chili Beef Noodles,"['beef', 'noodle', 'spring onion', 'chilli', 'garlic', 'spice', 'chili']",https://tasty.co/recipe/chili-beef-noodles,chinese,Yes
67,One-Pan Honey Garlic Salmon & Asparagus,"['honey', 'asparagus', 'oil', 'garlic', 'fillet']",https://tasty.co/recipe/one-pan-honey-garlic-salmon-asparagus,american,Yes
68,Shrimp & Avocado Tostadas,"['lemon', 'corn tortilla', 'serrano', 'lime', 'cilantro', 'cucumber', 'shrimp', 'onion', 'oil', 'avocado', 'tomato']",https://tasty.co/recipe/shrimp-avocado-tostadas,latin_american,Yes
68,Shrimp & Avocado Tostadas,"['lemon', 'corn tortilla', 'serrano', 'lime', 'cilantro', 'cucumber', 'shrimp', 'onion', 'oil', 'avocado', 'tomato']",https://tasty.co/recipe/shrimp-avocado-tostadas,latin_american,Yes
69,Buffalo Chickpea Wraps,"['lemon juice', 'tortilla', 'onion', 'oil', 'buffalo sauce', 'lettuce', 'chickpea', 'tomato', 'hummus']",https://tasty.co/recipe/buffalo-chickpea-wraps,middle_eastern,Yes
71,Elevated Hamburger Helper,"['tomato paste', 'paprika', 'pasta shell choice', 'bacon', 'parsley', 'milk', 'onion', 'tomato petite', 'garlic', 'carrot', 'beef', 'beef stock', 'gouda', 'cheese', 'bell pepper']",https://tasty.co/recipe/elevated-hamburger-helper,american,Yes
76,Disneyland&#x27;s Slow-Cooked Beef Stew Bread Bowl,"['bread bowl', 'paprika', 'bag frozen pea', 'celery', 'beef broth', 'potato', 'onion', 'flour', 'garlic', 'carrot', 'mushroom', 'chuck roast', 'worcestershire sauce']",https://tasty.co/recipe/disneyland-s-slow-cooked-beef-stew-bread-bowl,american,No
77,Avocado Chickpea Salad with Chili Lime Dressing,"['cumin', 'cherry tomato', 'cilantro', 'cucumber', 'onion', 'oil', 'chili powder', 'lime juice', 'avocado', 'carrot']",https://tasty.co/recipe/avocado-chickpea-salad,american,Yes
79,Shrimp and Avocado Taco Salad,"['jalapeÃno', 'lettuce', 'cumin', 'cilantro', 'shrimp', 'onion', 'oil', 'juice lime', 'avocado', 'tomato', 'oregano', 'chili']",https://tasty.co/recipe/shrimp-and-avocado-taco-salad,american,Yes
79,Shrimp and Avocado Taco Salad,"['jalapeÃno', 'lettuce', 'cumin', 'cilantro', 'shrimp', 'onion', 'oil', 'juice lime', 'avocado', 'tomato', 'oregano', 'chili']",https://tasty.co/recipe/shrimp-and-avocado-taco-salad,latin_american,Yes
79,Shrimp and Avocado Taco Salad,"['jalapeÃno', 'lettuce', 'cumin', 'cilantro', 'shrimp', 'onion', 'oil', 'juice lime', 'avocado', 'tomato', 'oregano', 'chili']",https://tasty.co/recipe/shrimp-and-avocado-taco-salad,latin_american,Yes
80,Tortilla Bowl Southwestern Salad,"['flour tortilla', 'bean', 'cumin', 'lettuce', 'cilantro', 'onion', 'oil', 'garlic', 'lime juice', 'avocado', 'corn', 'tomato']",https://tasty.co/recipe/tortilla-bowl-southwestern-salad,american,Yes
80,Tortilla Bowl Southwestern Salad,"['flour tortilla', 'bean', 'cumin', 'lettuce', 'cilantro', 'onion', 'oil', 'garlic', 'lime juice', 'avocado', 'corn', 'tomato']",https://tasty.co/recipe/tortilla-bowl-southwestern-salad,latin_american,Yes
81,Slow-Cooker Roasted Tomato Basil Soup,"['onion', 'oil', 'garlic', 'basil leaf', 'stock', 'tomato', 'thyme', 'oregano', 'bell pepper']",https://tasty.co/recipe/slow-cooker-roasted-tomato-basil-soup,american,No
82,Gourmet Rib Eye Steak,"['butter', 'oil', 'ribeye steak USDA Prime thick', 'garlic', 'thyme', 'rosemary']",https://tasty.co/recipe/gourmet-rib-eye-steak,american,No
83,Cilantro Lime Chicken & Veggie Rice Meal Prep,"['bean', 'chicken breast', 'bag', 'lime', 'cilantro', 'onion', 'oil', 'chili powder', 'garlic', 'corn', 'bell pepper']",https://tasty.co/recipe/cilantro-lime-chicken-veggie-rice-meal-prep,latin_american,Yes
83,Cilantro Lime Chicken & Veggie Rice Meal Prep,"['bean', 'chicken breast', 'bag', 'lime', 'cilantro', 'onion', 'oil', 'chili powder', 'garlic', 'corn', 'bell pepper']",https://tasty.co/recipe/cilantro-lime-chicken-veggie-rice-meal-prep,american,Yes
84,Chicken Tortilla Soup,"['bean', 'cumin', 'chilli', 'cilantro', 'onion', 'oil', 'chili powder', 'garlic', 'rotisserie chicken', 'corn', 'tortilla', 'tomato', 'chicken broth', 'oregano']",https://tasty.co/recipe/chicken-tortilla-soup,latin_american,Yes
84,Chicken Tortilla Soup,"['bean', 'cumin', 'chilli', 'cilantro', 'onion', 'oil', 'chili powder', 'garlic', 'rotisserie chicken', 'corn', 'tortilla', 'tomato', 'chicken broth', 'oregano']",https://tasty.co/recipe/chicken-tortilla-soup,american,Yes
85,Chicken Enchilada-Stuffed Zucchini Boats,"['chicken breast', 'lime', 'cilantro', 'zucchini', 'salsa mild', 'oil', 'chili powder', 'rom tomato', 'avocado', 'yogurt plain', 'juice', 'cheese']",https://tasty.co/recipe/chicken-enchilada-stuffed-zucchini-boats,latin_american,Yes
85,Chicken Enchilada-Stuffed Zucchini Boats,"['chicken breast', 'lime', 'cilantro', 'zucchini', 'salsa mild', 'oil', 'chili powder', 'rom tomato', 'avocado', 'yogurt plain', 'juice', 'cheese']",https://tasty.co/recipe/chicken-enchilada-stuffed-zucchini-boats,greek,Yes
86,New England Clam Chowder,"['celery', 'heavy cream', 'oyster cracker', 'chicken stock', 'bacon', 'potato', 'onion', 'flour', 'carrot', 'bay leaf', 'thyme', 'juice']",https://tasty.co/recipe/new-england-clam-chowder,american,No
86,New England Clam Chowder,"['celery', 'heavy cream', 'oyster cracker', 'chicken stock', 'bacon', 'potato', 'onion', 'flour', 'carrot', 'bay leaf', 'thyme', 'juice']",https://tasty.co/recipe/new-england-clam-chowder,british,No
87,Avocado Chicken Salad,"['jalapeno', 'celery', 'plain yogurt', 'cilantro top', 'sauce top', 'onion', 'lime juice', 'avocado']",https://tasty.co/recipe/avocado-chicken-salad,american,Yes
88,Chicken Pot Pie Soup,"['butter', 'half half', 'chicken stock', 'celery', 'onion', 'flour', 'garlic', 'carrot', 'corn', 'nutmeg', 'rotisserie chicken', 'pea', 'thyme']",https://tasty.co/recipe/chicken-pot-pie-soup,american,Yes
89,Tofu Stir Fry,"['edamame frozen', 'siracha', 'honey', 'sesame seed', 'ginger', 'onion', 'garlic', 'lime juice', 'carrot', 'block tofu', 'oil', 'soy sauce', 'soba noodle', 'bell pepper']",https://tasty.co/recipe/tofu-stir-fry,american,No
89,Tofu Stir Fry,"['edamame frozen', 'siracha', 'honey', 'sesame seed', 'ginger', 'onion', 'garlic', 'lime juice', 'carrot', 'block tofu', 'oil', 'soy sauce', 'soba noodle', 'bell pepper']",https://tasty.co/recipe/tofu-stir-fry,japanese,No
90,One-pan Chicken & Veggie Meal Prep,"['brussels', 'chicken breast', 'sweet potato', 'oil', 'garlic', ' broccoli', 'carrot', 'thyme', 'rosemary']",https://tasty.co/recipe/one-pan-chicken-veggie-meal-prep,american,Yes
91,Freezer-Prep Protein Packed Chili,"['cumin', 'honey', 'chili powder', 'corn', 'chickpea', 'tomato', 'heavy cream', 'lentil', 'kidney', 'paprika', 'onion', 'cheese', 'bean', 'cayenne', 'coriander', 'oil', 'garlic', 'scallion', 'stock']",https://tasty.co/recipe/freezer-prep-protein-packed-chili,american,Yes
92,French Fries 3 Ways,"['lemon juice', 'paprika', 'pesto', 'honey', 'apple cider vinegar', 'curry powder', 'onion', 'mayonnaise', 'oil', 'chili powder', 'garlic', 'cinnamon', 'russet potato', 'worcestershire sauce', 'tomato ketchup']",https://tasty.co/recipe/french-fries-3-ways,french,No
92,French Fries 3 Ways,"['lemon juice', 'paprika', 'pesto', 'honey', 'apple cider vinegar', 'curry powder', 'onion', 'mayonnaise', 'oil', 'chili powder', 'garlic', 'cinnamon', 'russet potato', 'worcestershire sauce', 'tomato ketchup']",https://tasty.co/recipe/french-fries-3-ways,german,No
92,French Fries 3 Ways,"['lemon juice', 'paprika', 'pesto', 'honey', 'apple cider vinegar', 'curry powder', 'onion', 'mayonnaise', 'oil', 'chili powder', 'garlic', 'cinnamon', 'russet potato', 'worcestershire sauce', 'tomato ketchup']",https://tasty.co/recipe/french-fries-3-ways,american,No
93,Vegetarian Grain Bowl Meal Prep,"['cilantro', ' broccoli', 'chickpea', 'sweet potato', 'sugar snap pea', 'paprika', 'quinoa', 'ginger', 'onion', 'lime juice', 'carrot', 'plain yogurt', 'brussels sprout', 'oil', 'rice', 'pure maple syrup', 'garlic', ' cabbage', 'bell pepper']",https://tasty.co/recipe/vegetarian-grain-bowl-meal-prep,american,No
95,Eggplant Parmesan Boats,"['onion', 'eggplant', 'oil', 'garlic', 'basil', 'marinara sauce', 'mozzarella', 'turkey', 'cheese']",https://tasty.co/recipe/eggplant-parmesan-boats,italian,Yes
95,Eggplant Parmesan Boats,"['onion', 'eggplant', 'oil', 'garlic', 'basil', 'marinara sauce', 'mozzarella', 'turkey', 'cheese']",https://tasty.co/recipe/eggplant-parmesan-boats,american,Yes
96,Easy Jambalaya,"['rib celery', 'jalapeno', 'cajun', 'chicken breast', 'sausage', 'chicken stock', 'cayenne', 'shrimp', 'onion', 'oil', 'rice', 'garlic', 'tomato', 'bay leaf', 'thyme', 'bell pepper']",https://tasty.co/recipe/easy-jambalaya,american,No
96,Easy Jambalaya,"['rib celery', 'jalapeno', 'cajun', 'chicken breast', 'sausage', 'chicken stock', 'cayenne', 'shrimp', 'onion', 'oil', 'rice', 'garlic', 'tomato', 'bay leaf', 'thyme', 'bell pepper']",https://tasty.co/recipe/easy-jambalaya,french,No
98,Healthy Mediterranean Salad,"['dill', 'chicken breast', 'lemon juice', 'yogurt', 'lettuce', 'cherry tomato', 'wine vinegar', 'cucumber', 'onion', 'oil', 'garlic', 'cheese']",https://tasty.co/recipe/healthy-mediterranean-salad,greek,Yes
98,Healthy Mediterranean Salad,"['dill', 'chicken breast', 'lemon juice', 'yogurt', 'lettuce', 'cherry tomato', 'wine vinegar', 'cucumber', 'onion', 'oil', 'garlic', 'cheese']",https://tasty.co/recipe/healthy-mediterranean-salad,american,Yes
99,Chicken Ranch Wrap,"['wheat tortilla', 'ranch', 'lettuce', 'cherry half', 'cheese']",https://tasty.co/recipe/chicken-ranch-wrap,american,Yes
102,Cauliflower Shrimp Fried Rice,"['egg', 'cauliflower', 'shrimp', 'onion', 'garlic', 'carrot', 'pea', 'oil', 'soy sauce']",https://tasty.co/recipe/cauliflower-shrimp-fried-rice,american,No
102,Cauliflower Shrimp Fried Rice,"['egg', 'cauliflower', 'shrimp', 'onion', 'garlic', 'carrot', 'pea', 'oil', 'soy sauce']",https://tasty.co/recipe/cauliflower-shrimp-fried-rice,chinese,No
104,Tofu Lettuce Wraps with Mushrooms,"['rice wine vinegar', 'siracha', ' iceberg lettuce', 'mushroom shiitake', 'oil', 'ginger', 'chestnut', 'onion', 'rice noodle', 'brown sugar', 'garlic', 'tofu package', 'scallion', 'oil']",https://tasty.co/recipe/lettuce-wraps,chinese,No
107,Roasted Cauliflower And Curry Soup,"['jalapeno', 'coconut milk', 'turmeric', 'cilantro', 'lime wedge', 'oil', 'curry paste', 'onion', 'coriander', 'garlic', 'scallion', 'chickpea', ' cauliflower', 'curry', 'broth']",https://tasty.co/recipe/roasted-cauliflower-and-curry-soup,indian,No
108,Karaage Fried Chicken,"['sugar', 'ginger', 'oil', 'garlic', 'potato starch', 'chicken thigh', 'sake', 'egg']",https://tasty.co/recipe/karaage-fried-chicken,japanese,Yes
109,Shredded Chicken Tacos,"['chicken breast', 'heavy cream', 'cumin', 'guacamole', 'pico gallo', 'tortilla', 'chili powder', 'garlic', 'salsa']",https://tasty.co/recipe/shredded-chicken-tacos,latin_american,No
